station,year,month,date,filename
2023,01,01,FOP1,FOP120230101_000641_V06
2023,01,01,FOP1,FOP120230101_001349_V06
2023,01,01,FOP1,FOP120230101_002051_V06
2023,01,01,FOP1,FOP120230101_002749_V06
2023,01,01,FOP1,FOP120230101_003439_V06
2023,01,01,FOP1,FOP120230101_004128_V06
2023,01,01,FOP1,FOP120230101_004816_V06
2023,01,01,FOP1,FOP120230101_005524_V06
2023,01,01,FOP1,FOP120230101_005524_V06_MDM
2023,01,01,FOP1,FOP120230101_010218_V06
2023,01,01,FOP1,FOP120230101_010928_V06
2023,01,01,FOP1,FOP120230101_011636_V06
2023,01,01,FOP1,FOP120230101_012323_V06
2023,01,01,FOP1,FOP120230101_013012_V06
2023,01,01,FOP1,FOP120230101_013701_V06
2023,01,01,FOP1,FOP120230101_014354_V06
2023,01,01,FOP1,FOP120230101_015050_V06
2023,01,01,FOP1,FOP120230101_015748_V06
2023,01,01,FOP1,FOP120230101_015748_V06_MDM
2023,01,01,FOP1,FOP120230101_020611_V06
2023,01,01,FOP1,FOP120230101_021313_V06
2023,01,01,FOP1,FOP120230101_022021_V06
2023,01,01,FOP1,FOP120230101_022730_V06
2023,01,01,FOP1,FOP120230101_023426_V06
2023,01,01,FOP1,FOP120230101_024124_V06
2023,01,01,FOP1,FOP120230101_024826_V06
2023,01,01,FOP1,FOP120230101_025527_V06
2023,01,01,FOP1,FOP120230101_025527_V06_MDM
2023,01,01,FOP1,FOP120230101_030224_V06
2023,01,01,FOP1,FOP120230101_030926_V06
2023,01,01,FOP1,FOP120230101_031623_V06
2023,01,01,FOP1,FOP120230101_032319_V06
2023,01,01,FOP1,FOP120230101_033017_V06
2023,01,01,FOP1,FOP120230101_033719_V06
2023,01,01,FOP1,FOP120230101_034411_V06
2023,01,01,FOP1,FOP120230101_035107_V06
2023,01,01,FOP1,FOP120230101_035816_V06
2023,01,01,FOP1,FOP120230101_035816_V06_MDM
2023,01,01,FOP1,FOP120230101_040525_V06
2023,01,01,FOP1,FOP120230101_041234_V06
2023,01,01,FOP1,FOP120230101_041935_V06
2023,01,01,FOP1,FOP120230101_042643_V06
2023,01,01,FOP1,FOP120230101_043351_V06
2023,01,01,FOP1,FOP120230101_044053_V06
2023,01,01,FOP1,FOP120230101_044754_V06
2023,01,01,FOP1,FOP120230101_045457_V06
2023,01,01,FOP1,FOP120230101_045457_V06_MDM
2023,01,01,FOP1,FOP120230101_050159_V06
2023,01,01,FOP1,FOP120230101_050901_V06
2023,01,01,FOP1,FOP120230101_051610_V06
2023,01,01,FOP1,FOP120230101_052320_V06
2023,01,01,FOP1,FOP120230101_053028_V06
2023,01,01,FOP1,FOP120230101_053737_V06
2023,01,01,FOP1,FOP120230101_054445_V06
2023,01,01,FOP1,FOP120230101_055155_V06
2023,01,01,FOP1,FOP120230101_055857_V06
2023,01,01,FOP1,FOP120230101_055857_V06_MDM
2023,01,01,FOP1,FOP120230101_060606_V06
2023,01,01,FOP1,FOP120230101_061315_V06
2023,01,01,FOP1,FOP120230101_062023_V06
2023,01,01,FOP1,FOP120230101_062731_V06
2023,01,01,FOP1,FOP120230101_063440_V06
2023,01,01,FOP1,FOP120230101_064143_V06
2023,01,01,FOP1,FOP120230101_064841_V06
2023,01,01,FOP1,FOP120230101_065530_V06
2023,01,01,FOP1,FOP120230101_065530_V06_MDM
2023,01,01,FOP1,FOP120230101_070238_V06
2023,01,01,FOP1,FOP120230101_070947_V06
2023,01,01,FOP1,FOP120230101_071644_V06
2023,01,01,FOP1,FOP120230101_072341_V06
2023,01,01,FOP1,FOP120230101_073050_V06
2023,01,01,FOP1,FOP120230101_073739_V06
2023,01,01,FOP1,FOP120230101_074441_V06
2023,01,01,FOP1,FOP120230101_075135_V06
2023,01,01,FOP1,FOP120230101_075828_V06
2023,01,01,FOP1,FOP120230101_075828_V06_MDM
2023,01,01,FOP1,FOP120230101_080521_V06
2023,01,01,FOP1,FOP120230101_081231_V06
2023,01,01,FOP1,FOP120230101_081924_V06
2023,01,01,FOP1,FOP120230101_082621_V06
2023,01,01,FOP1,FOP120230101_083318_V06
2023,01,01,FOP1,FOP120230101_084020_V06
2023,01,01,FOP1,FOP120230101_084714_V06
2023,01,01,FOP1,FOP120230101_085422_V06
2023,01,01,FOP1,FOP120230101_085422_V06_MDM
2023,01,01,FOP1,FOP120230101_090123_V06
2023,01,01,FOP1,FOP120230101_090832_V06
2023,01,01,FOP1,FOP120230101_091541_V06
2023,01,01,FOP1,FOP120230101_092243_V06
2023,01,01,FOP1,FOP120230101_092945_V06
2023,01,01,FOP1,FOP120230101_093647_V06
2023,01,01,FOP1,FOP120230101_094356_V06
2023,01,01,FOP1,FOP120230101_095058_V06
2023,01,01,FOP1,FOP120230101_095808_V06
2023,01,01,FOP1,FOP120230101_095808_V06_MDM
2023,01,01,FOP1,FOP120230101_100626_V06
2023,01,01,FOP1,FOP120230101_101336_V06
2023,01,01,FOP1,FOP120230101_102045_V06
2023,01,01,FOP1,FOP120230101_102755_V06
2023,01,01,FOP1,FOP120230101_103503_V06
2023,01,01,FOP1,FOP120230101_104211_V06
2023,01,01,FOP1,FOP120230101_104920_V06
2023,01,01,FOP1,FOP120230101_105630_V06
2023,01,01,FOP1,FOP120230101_105630_V06_MDM
2023,01,01,FOP1,FOP120230101_110339_V06
2023,01,01,FOP1,FOP120230101_111048_V06
2023,01,01,FOP1,FOP120230101_111758_V06
2023,01,01,FOP1,FOP120230101_112507_V06
2023,01,01,FOP1,FOP120230101_113215_V06
2023,01,01,FOP1,FOP120230101_113924_V06
2023,01,01,FOP1,FOP120230101_114633_V06
2023,01,01,FOP1,FOP120230101_115343_V06
2023,01,01,FOP1,FOP120230101_115343_V06_MDM
