[2023-03-03T20:04:21.687+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010001170_e20230010003544_c20230010003590.nc
[2023-03-03T20:04:21.688+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010006170_e20230010008545_c20230010008583.nc
[2023-03-03T20:04:21.688+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010011170_e20230010013546_c20230010014002.nc
[2023-03-03T20:04:21.689+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010016170_e20230010018545_c20230010018587.nc
[2023-03-03T20:04:21.689+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010021170_e20230010023547_c20230010023581.nc
[2023-03-03T20:04:21.689+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010026170_e20230010028547_c20230010028580.nc
[2023-03-03T20:04:21.690+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010031170_e20230010033545_c20230010033586.nc
[2023-03-03T20:04:21.690+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010036170_e20230010038547_c20230010038588.nc
[2023-03-03T20:04:21.691+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010041170_e20230010043545_c20230010043595.nc
[2023-03-03T20:04:21.691+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010046170_e20230010048545_c20230010048593.nc
[2023-03-03T20:04:21.691+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010051170_e20230010053545_c20230010053584.nc
[2023-03-03T20:04:21.692+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010056170_e20230010058545_c20230010058585.nc
[2023-03-03T20:04:21.692+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010001170_e20230010003543_c20230010004021.nc
[2023-03-03T20:04:21.692+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010006170_e20230010008543_c20230010009018.nc
[2023-03-03T20:04:21.693+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010011170_e20230010013543_c20230010013589.nc
[2023-03-03T20:04:21.693+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010016170_e20230010018543_c20230010018593.nc
[2023-03-03T20:04:21.693+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010021170_e20230010023543_c20230010024009.nc
[2023-03-03T20:04:21.694+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010026170_e20230010028543_c20230010028585.nc
[2023-03-03T20:04:21.694+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010031170_e20230010033543_c20230010034024.nc
[2023-03-03T20:04:21.695+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010036170_e20230010038543_c20230010039001.nc
[2023-03-03T20:04:21.695+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010041170_e20230010043543_c20230010043587.nc
[2023-03-03T20:04:21.695+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010046170_e20230010048543_c20230010048585.nc
[2023-03-03T20:04:21.696+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010051170_e20230010053543_c20230010053593.nc
[2023-03-03T20:04:21.696+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010056170_e20230010058543_c20230010058590.nc
[2023-03-03T20:04:21.696+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010001170_e20230010003545_c20230010004033.nc
[2023-03-03T20:04:21.697+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010006170_e20230010008546_c20230010009031.nc
[2023-03-03T20:04:21.697+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010011170_e20230010013544_c20230010014031.nc
[2023-03-03T20:04:21.698+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010016170_e20230010018544_c20230010019008.nc
[2023-03-03T20:04:21.698+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010021170_e20230010023545_c20230010024028.nc
[2023-03-03T20:04:21.698+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010026170_e20230010028548_c20230010029012.nc
[2023-03-03T20:04:21.699+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010031170_e20230010033545_c20230010034030.nc
[2023-03-03T20:04:21.699+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010036170_e20230010038547_c20230010039022.nc
