[2023-03-03T20:14:32.198+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010026170_e20230010028543_c20230010029001.nc
[2023-03-03T20:14:32.199+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010031170_e20230010033543_c20230010033594.nc
[2023-03-03T20:14:32.199+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010036170_e20230010038543_c20230010038591.nc
[2023-03-03T20:14:32.199+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010041170_e20230010043543_c20230010043597.nc
[2023-03-03T20:14:32.200+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010046170_e20230010048543_c20230010048599.nc
[2023-03-03T20:14:32.200+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010051170_e20230010053543_c20230010053590.nc
[2023-03-03T20:14:32.200+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010056170_e20230010058543_c20230010059001.nc
[2023-03-03T20:14:32.201+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010001170_e20230010003550_c20230010004030.nc
[2023-03-03T20:14:32.202+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010006170_e20230010008550_c20230010009035.nc
[2023-03-03T20:14:32.202+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010011170_e20230010013549_c20230010014020.nc
[2023-03-03T20:14:32.203+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010016170_e20230010018549_c20230010019000.nc
[2023-03-03T20:14:32.203+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010021170_e20230010023549_c20230010023591.nc
[2023-03-03T20:14:32.203+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010026170_e20230010028549_c20230010029003.nc
[2023-03-03T20:14:32.204+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010031170_e20230010033550_c20230010033591.nc
[2023-03-03T20:14:32.204+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010036170_e20230010038550_c20230010038593.nc
[2023-03-03T20:14:32.204+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010041170_e20230010043549_c20230010044024.nc
[2023-03-03T20:14:32.205+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010046170_e20230010048551_c20230010049042.nc
[2023-03-03T20:14:32.205+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010051170_e20230010053549_c20230010053596.nc
[2023-03-03T20:14:32.205+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010056170_e20230010058549_c20230010059012.nc
[2023-03-03T20:14:32.206+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010001170_e20230010003556_c20230010004012.nc
[2023-03-03T20:14:32.206+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010006170_e20230010008556_c20230010009001.nc
[2023-03-03T20:14:32.206+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010011170_e20230010013555_c20230010013596.nc
[2023-03-03T20:14:32.207+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010016170_e20230010018555_c20230010018598.nc
[2023-03-03T20:14:32.207+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010021170_e20230010023556_c20230010024021.nc
[2023-03-03T20:14:32.207+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010026170_e20230010028556_c20230010028595.nc
[2023-03-03T20:14:32.208+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010031170_e20230010033555_c20230010033598.nc
[2023-03-03T20:14:32.208+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010036170_e20230010038555_c20230010038599.nc
[2023-03-03T20:14:32.208+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010041170_e20230010043555_c20230010044005.nc
[2023-03-03T20:14:32.209+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010046170_e20230010048557_c20230010049004.nc
[2023-03-03T20:14:32.209+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010051170_e20230010053557_c20230010054005.nc
[2023-03-03T20:14:32.210+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010056170_e20230010058559_c20230010059028.nc
