[2023-03-03T19:29:08.016+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010006170_e20230010008545_c20230010008583.nc
[2023-03-03T19:29:08.016+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010011170_e20230010013546_c20230010014002.nc
[2023-03-03T19:29:08.017+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010016170_e20230010018545_c20230010018587.nc
[2023-03-03T19:29:08.017+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010021170_e20230010023547_c20230010023581.nc
[2023-03-03T19:29:08.018+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010026170_e20230010028547_c20230010028580.nc
[2023-03-03T19:29:08.018+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010031170_e20230010033545_c20230010033586.nc
[2023-03-03T19:29:08.018+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010036170_e20230010038547_c20230010038588.nc
[2023-03-03T19:29:08.019+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010041170_e20230010043545_c20230010043595.nc
[2023-03-03T19:29:08.019+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010046170_e20230010048545_c20230010048593.nc
[2023-03-03T19:29:08.020+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010051170_e20230010053545_c20230010053584.nc
[2023-03-03T19:29:08.020+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010056170_e20230010058545_c20230010058585.nc
[2023-03-03T19:29:08.021+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010001170_e20230010003543_c20230010004021.nc
[2023-03-03T19:29:08.021+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010006170_e20230010008543_c20230010009018.nc
[2023-03-03T19:29:08.021+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010011170_e20230010013543_c20230010013589.nc
